Col1,Col2
-5.05698,-1.04652
-5.05629,-0.781143
-5.0556,-0.46963
-5.05491,-0.120683
-5.05422,0.256579
-5.05354,0.65285
-5.05285,1.05922
-5.05216,1.4674
-5.05147,1.87022
-5.05078,2.2618
-5.05009,2.63785
-5.0494,2.99583
-5.04871,3.33502
-5.04802,3.65659
-5.04733,3.96342
-5.04665,4.26006
-5.04596,4.55242
-5.04527,4.84755
-5.04458,5.15319
-5.04389,5.47753
-5.0432,5.82862
-5.04251,6.21408
-5.04182,6.64059
-5.04113,7.11358
-5.04045,7.63673
-5.03976,8.21184
-5.03907,8.83843
-5.03838,9.51365
-5.03769,10.2322
-5.037,10.9864
-5.03631,11.7662
-5.03562,12.5593
-5.03493,13.3519
-5.03424,14.1284
-5.03356,14.8723
-5.03287,15.5667
-5.03218,16.1945
-5.03149,16.7395
-5.0308,17.1863
-5.03011,17.5214
-5.02942,17.7335
-5.02873,17.814
-5.02804,17.7572
-5.02735,17.5611
-5.02667,17.2271
-5.02598,16.7602
-5.02529,16.1694
-5.0246,15.467
-5.02391,14.6688
-5.02322,13.7936
-5.02253,12.8625
-5.02184,11.899
-5.02115,10.9277
-5.02047,9.97416
-5.01978,9.06378
-5.01909,8.22143
-5.0184,7.4705
-5.01771,6.83237
-5.01702,6.32567
-5.01633,5.9658
-5.01564,5.76438
-5.01495,5.72893
-5.01426,5.86263
-5.01358,6.16408
-5.01289,6.62743
-5.0122,7.24243
-5.01151,7.9947
-5.01082,8.86611
-5.01013,9.83531
-5.00944,10.8782
-5.00875,11.9688
-5.00806,13.0797
-5.00738,14.183
-5.00669,15.2513
-5.006,16.2579
-5.00531,17.1781
-5.00462,17.9896
-5.00393,18.6733
-5.00324,19.2135
-5.00255,19.5987
-5.00186,19.8219
-5.00117,19.8802
-5.00049,19.7756
-4.9998,19.5144
-4.99911,19.1072
-4.99842,18.5683
-4.99773,17.9155
-4.99704,17.1696
-4.99635,16.3534
-4.99566,15.4912
-4.99497,14.6081
-4.99429,13.7292
-4.9936,12.8788
-4.99291,12.0797
-4.99222,11.3527
-4.99153,10.7155
-4.99084,10.183
-4.99015,9.76591
-4.98946,9.47137
-4.98877,9.30221
-4.98808,9.25712
-4.9874,9.33074
-4.98671,9.51385
-4.98602,9.79368
-4.98533,10.1544
-4.98464,10.5777
-4.98395,11.0432
-4.98326,11.5294
-4.98257,12.0141
-4.98188,12.4754
-4.98119,12.892
-4.98051,13.2444
-4.97982,13.5149
-4.97913,13.6888
-4.97844,13.7543
-4.97775,13.7031
-4.97706,13.5307
-4.97637,13.2365
-4.97568,12.8235
-4.97499,12.2987
-4.97431,11.6724
-4.97362,10.958
-4.97293,10.1717
-4.97224,9.33194
-4.97155,8.45845
-4.97086,7.57208
-4.97017,6.69387
-4.96948,5.84446
-4.96879,5.04339
-4.9681,4.30851
-4.96742,3.65549
-4.96673,3.09719
-4.96604,2.64335
-4.96535,2.30034
